order_item_id,order_id,product_id,quantity,item_price
OI000342,O00034,P0253,3,187.31
OI000343,O00034,P0745,2,111.02
OI000344,O00034,P0093,2,189.84
OI000350,O00035,P0985,1,15.18
OI000360,O00036,P0907,3,172.81
OI000361,O00036,P0721,1,125.63
OI000370,O00037,P0069,3,55.49
OI000371,O00037,P0005,2,127.49
OI000372,O00037,P0406,3,34.09
OI000373,O00037,P0025,1,65.16
OI000380,O00038,P0799,1,164.83
OI000381,O00038,P0418,1,18.26
OI000390,O00039,P0652,3,127.07
OI000391,O00039,P0227,1,123.13
OI000400,O00040,P0050,2,76.56
OI000401,O00040,P0241,1,37.13
OI000402,O00040,P0657,3,126.56
OI000410,O00041,P0499,2,119.57
OI000411,O00041,P0451,1,151.74
OI000412,O00041,P0804,2,92.69
OI000420,O00042,P0773,1,88.36
OI000421,O00042,P0601,3,100.27
OI000422,O00042,P0042,2,124.41
OI000430,O00043,P0769,2,178.79
OI000440,O00044,P0258,1,121.44
OI000441,O00044,P0915,3,129.6
OI000442,O00044,P0758,2,24.8
OI000450,O00045,P0350,1,104.31
OI000451,O00045,P0825,3,37.83
OI000452,O00045,P0098,2,11.69
OI000453,O00045,P0673,1,196.02
OI000460,O00046,P0545,3,16.28
OI000461,O00046,P0129,3,184.24
OI000462,O00046,P0278,1,57.74
OI000470,O00047,P0155,3,36.77
OI000471,O00047,P0972,3,137.07
OI000480,O00048,P0754,3,45.92
OI000481,O00048,P0748,3,38.72
OI000482,O00048,P0567,1,98.32
OI000490,O00049,P0737,3,127.45
OI000500,O00050,P0226,2,175.55
OI000501,O00050,P0824,1,55.25
OI000510,O00051,P0021,1,33.71
OI000511,O00051,P0160,2,16.17
OI000512,O00051,P0122,3,48.32
OI000513,O00051,P0379,3,30.91
OI000514,O00051,P0833,2,18.23
OI000520,O00052,P0497,1,49.55
OI000521,O00052,P0365,1,121.37
OI000522,O00052,P0425,2,153.77
OI000530,O00053,P0086,1,100.37
OI000531,O00053,P0208,3,93.85
OI000532,O00053,P0160,3,16.17
OI000533,O00053,P0061,3,39.15
OI000540,O00054,P1000,3,47.57
OI000550,O00055,P0493,2,176.66
OI000551,O00055,P0164,1,98.77
OI000552,O00055,P0709,1,151.68
OI000553,O00055,P0887,3,137.96
OI000560,O00056,P0392,3,143.02
OI000561,O00056,P0027,3,100.54
OI000562,O00056,P0001,3,154.01
OI000563,O00056,P0677,3,43.09
OI000570,O00057,P0839,3,179.58
OI000580,O00058,P0656,2,73.0
OI000590,O00059,P0310,2,35.76
OI000591,O00059,P0900,1,37.24
OI000600,O00060,P0036,3,121.54
OI000601,O00060,P0142,2,105.46
OI000602,O00060,P0544,2,35.99
OI000603,O00060,P0878,3,47.07
OI000604,O00060,P0115,3,28.63
OI000610,O00061,P0266,1,186.65
OI000611,O00061,P0216,2,10.35
OI000612,O00061,P0401,3,72.27
OI000613,O00061,P0733,2,19.91
OI000620,O00062,P0292,2,180.93
OI000621,O00062,P0133,3,165.44
OI000622,O00062,P0126,3,29.9
OI000630,O00063,P0048,3,113.4
OI000631,O00063,P0043,1,130.65
OI000632,O00063,P0270,2,134.38
OI000633,O00063,P0674,2,174.36
OI000634,O00063,P0918,3,60.33
OI000640,O00064,P0188,2,149.1
OI000650,O00065,P0804,1,92.69
OI000660,O00066,P0215,2,26.43
OI000661,O00066,P0224,3,179.21
OI000662,O00066,P0690,2,166.65
OI000663,O00066,P0669,3,25.82
OI000664,O00066,P0917,2,121.23
OI000670,O00067,P0442,3,78.0
OI000671,O00067,P0476,1,23.88
OI000680,O00068,P0074,2,39.96
OI000681,O00068,P0016,1,46.3
OI000682,O00068,P0808,1,153.63
OI000690,O00069,P0289,2,192.19
OI000691,O00069,P0812,3,40.54
OI000692,O00069,P0575,1,31.49
OI000693,O00069,P0988,2,97.99
OI000694,O00069,P0958,2,144.61
OI000700,O00070,P0329,2,21.65
OI000701,O00070,P0594,2,43.95
OI000702,O00070,P0217,2,97.78
OI000703,O00070,P0194,3,192.57
OI000710,O00071,P0432,3,113.25
OI000711,O00071,P0079,2,195.93
OI000712,O00071,P0308,2,14.8
OI000720,O00072,P0284,3,97.5
OI000721,O00072,P0534,1,106.29
OI000730,O00073,P0746,1,175.41
OI000731,O00073,P0707,1,111.23
OI000732,O00073,P0398,1,185.48
OI000740,O00074,P0804,3,92.69
OI000750,O00075,P0447,3,46.19
OI000751,O00075,P0278,1,57.74
OI000752,O00075,P0887,3,137.96
OI000753,O00075,P0052,2,197.76
OI000760,O00076,P0698,1,113.39
OI000761,O00076,P0556,2,157.49
OI000762,O00076,P0451,2,151.74
OI000770,O00077,P0316,1,78.14
OI000780,O00078,P0689,3,15.82
OI000781,O00078,P0683,2,108.15
OI000782,O00078,P0664,1,142.69
OI000790,O00079,P0385,2,170.5
OI000791,O00079,P0434,3,91.27
OI000792,O00079,P0392,1,143.02
OI000793,O00079,P0093,1,189.84
OI000800,O00080,P0072,2,89.46
OI000801,O00080,P0206,3,190.3
OI000802,O00080,P0914,2,16.74
OI000803,O00080,P0277,2,175.29
OI000810,O00081,P0500,2,145.05
OI000811,O00081,P0804,3,92.69
OI000820,O00082,P0270,1,134.38
OI000830,O00083,P0112,2,129.08
OI000831,O00083,P0791,2,82.9
OI000832,O00083,P0348,2,74.65
OI000840,O00084,P0464,1,76.9
OI000841,O00084,P0314,3,35.18
OI000842,O00084,P0902,2,84.51
OI000843,O00084,P0363,1,49.7
OI000850,O00085,P0054,3,42.19
OI000860,O00086,P0384,1,144.06
OI000861,O00086,P0304,3,108.45
OI000870,O00087,P0186,2,165.61
OI000871,O00087,P0459,3,142.24
OI000872,O00087,P0322,3,82.98
OI000880,O00088,P0919,2,36.47
OI000881,O00088,P0886,2,28.54
OI000882,O00088,P0409,2,78.59
OI000883,O00088,P0324,2,75.2
OI000890,O00089,P0104,3,55.54
OI000891,O00089,P0835,1,25.38
OI000892,O00089,P0419,1,142.49
OI000900,O00090,P0046,1,146.44
OI000901,O00090,P0697,3,159.89
OI000910,O00091,P0900,2,37.24
OI000920,O00092,P0844,2,199.15
OI000921,O00092,P0838,3,83.22
OI000922,O00092,P0364,1,162.91
OI000923,O00092,P0394,3,45.18
OI000930,O00093,P0004,1,105.89
OI000940,O00094,P0375,1,157.94
OI000941,O00094,P0577,2,82.71
OI000942,O00094,P0625,1,70.33
OI000943,O00094,P0524,3,102.44
OI000944,O00094,P0545,3,16.28
OI000950,O00095,P0788,2,26.37
OI000951,O00095,P0354,1,12.81
OI000952,O00095,P0666,3,195.03
OI000960,O00096,P0557,3,63.75
OI000961,O00096,P0374,1,101.28
OI000962,O00096,P0145,3,65.04
OI000970,O00097,P0844,1,199.15
OI000971,O00097,P0906,3,53.72
OI000980,O00098,P0667,2,51.05
OI000981,O00098,P0136,3,144.21
OI000982,O00098,P0395,3,24.81
OI000983,O00098,P0083,2,110.39
OI000984,O00098,P0809,3,10.25
OI000990,O00099,P0304,2,108.45
OI000991,O00099,P0565,2,186.63
OI000992,O00099,P0121,2,15.25
OI000993,O00099,P0489,1,88.11
OI000994,O00099,P0342,1,169.63
OI001000,O00100,P0502,1,39.06
OI001001,O00100,P0207,1,11.6
OI001002,O00100,P0963,1,183.3
OI001003,O00100,P0337,1,143.94
OI001010,O00101,P0352,2,40.83
OI001020,O00102,P0279,1,69.32
OI001021,O00102,P0989,1,169.02
OI001022,O00102,P0218,1,156.04
OI001030,O00103,P0406,3,34.09
OI001031,O00103,P1000,3,47.57
OI001032,O00103,P0150,2,22.47
OI001040,O00104,P0999,3,148.55
OI001050,O00105,P0683,3,108.15
OI001051,O00105,P0074,3,39.96
OI001060,O00106,P0770,1,178.33
OI001061,O00106,P0525,1,116.71
OI001062,O00106,P0837,1,151.12
OI001063,O00106,P0783,2,109.46
OI001070,O00107,P0395,3,24.81
OI001071,O00107,P0774,2,18.96
OI001072,O00107,P0221,1,113.31
OI001080,O00108,P0267,3,96.37
OI001081,O00108,P0788,3,26.37
OI001090,O00109,P0855,1,176.43
OI001091,O00109,P0915,1,129.6
OI001100,O00110,P0107,1,30.64
OI001110,O00111,P0202,1,23.91
OI001111,O00111,P0659,3,173.63
OI001120,O00112,P0794,2,69.54
OI001121,O00112,P0326,2,137.6
OI001130,O00113,P0870,2,62.31
OI001131,O00113,P0654,3,107.92
OI001140,O00114,P0360,3,139.34
OI001141,O00114,P0323,1,69.88
OI001150,O00115,P0280,1,101.6
OI001151,O00115,P0754,1,45.92
OI001152,O00115,P0190,1,187.23
OI001153,O00115,P0460,3,131.62
OI001160,O00116,P0804,2,92.69
OI001161,O00116,P0852,2,110.93
OI001162,O00116,P0020,2,30.72
OI001170,O00117,P0551,2,11.7
OI001171,O00117,P0429,3,160.29
OI001172,O00117,P0480,2,23.11
OI001180,O00118,P0540,2,84.72
OI001181,O00118,P0035,3,25.65
OI001182,O00118,P0354,2,12.81
OI001190,O00119,P0598,1,14.54
OI001200,O00120,P0115,2,28.63
OI001201,O00120,P0918,3,60.33
OI001202,O00120,P0978,3,147.7
OI001203,O00120,P0789,3,73.04
OI001210,O00121,P0367,1,72.83
OI001211,O00121,P0997,1,159.79
OI001212,O00121,P0867,3,70.56
OI001213,O00121,P0806,1,118.28
OI001220,O00122,P0828,3,101.17
OI001221,O00122,P0164,1,98.77
OI001222,O00122,P0605,3,137.9
OI001223,O00122,P0562,1,198.68
OI001224,O00122,P0792,3,114.74
OI001230,O00123,P0124,1,128.45
OI001231,O00123,P0990,2,163.19
OI001232,O00123,P0797,1,117.41
OI001233,O00123,P0139,1,154.19
OI001240,O00124,P0462,3,138.9
OI001250,O00125,P0279,1,69.32
OI001251,O00125,P0941,1,50.47
OI001252,O00125,P0574,3,60.06
OI001253,O00125,P0263,1,156.57
OI001254,O00125,P0955,3,60.3
OI001260,O00126,P0584,1,195.45
OI001270,O00127,P0197,2,81.55
OI001271,O00127,P0784,3,131.5
OI001280,O00128,P0157,3,163.95
OI001281,O00128,P0929,3,40.37
OI001290,O00129,P0699,1,89.3
OI001291,O00129,P0871,1,76.46
OI001292,O00129,P0220,2,27.59
OI001300,O00130,P0729,1,163.47
OI001301,O00130,P0624,3,146.33
OI001310,O00131,P0661,1,75.99
OI001311,O00131,P0440,2,142.78
OI001312,O00131,P0312,3,54.71
OI001320,O00132,P0089,1,35.35
OI001330,O00133,P0195,1,130.82
OI001340,O00134,P0873,2,114.95
OI001341,O00134,P0963,2,183.3
OI001350,O00135,P0372,2,159.78
OI001360,O00136,P0562,2,198.68
OI001361,O00136,P0991,3,54.4
OI001370,O00137,P0919,1,36.47
OI001371,O00137,P0171,1,153.76
OI001372,O00137,P0691,3,12.89
OI001380,O00138,P0450,3,180.43
OI001390,O00139,P0440,3,142.78
OI001391,O00139,P0749,2,121.49
OI001392,O00139,P0064,3,76.92
OI001393,O00139,P0004,3,105.89
OI001394,O00139,P0943,2,114.07
OI001400,O00140,P0225,2,29.39
OI001401,O00140,P0737,2,127.45
OI001402,O00140,P0929,1,40.37
OI001410,O00141,P0885,1,49.93
OI001411,O00141,P0572,1,165.95
OI001412,O00141,P0814,2,168.29
OI001413,O00141,P0374,2,101.28
OI001420,O00142,P0367,2,72.83
OI001421,O00142,P0049,2,23.3
OI001430,O00143,P0999,1,148.55
OI001431,O00143,P0544,2,35.99
OI001432,O00143,P0864,1,179.91
OI001440,O00144,P0206,1,190.3
OI001441,O00144,P0710,1,197.09
OI001442,O00144,P0244,2,195.99
OI001443,O00144,P0344,3,151.13
OI001444,O00144,P0363,2,49.7
OI001450,O00145,P0312,1,54.71
OI001451,O00145,P0510,3,197.06
OI001452,O00145,P0578,3,166.09
OI001460,O00146,P0982,1,139.96
OI001461,O00146,P0316,1,78.14
OI001470,O00147,P0658,2,57.79
OI001471,O00147,P0009,3,92.49
OI001480,O00148,P0985,2,15.18
OI001481,O00148,P0365,2,121.37
OI001482,O00148,P0405,2,120.71
OI001483,O00148,P0506,3,162.49
OI001490,O00149,P0757,3,183.43
OI001491,O00149,P0131,1,113.13
OI001492,O00149,P0926,2,121.31
OI001493,O00149,P0487,2,185.67
OI001494,O00149,P0565,2,186.63
OI001500,O00150,P0193,3,193.64
OI001510,O00151,P0768,3,11.53
OI001511,O00151,P0323,2,69.88
OI001520,O00152,P0677,3,43.09
OI001521,O00152,P0024,3,161.61
OI001530,O00153,P0008,2,72.74
OI001540,O00154,P0482,2,124.77
OI001541,O00154,P0120,3,78.12
OI001542,O00154,P0312,3,54.71
OI001550,O00155,P0599,3,114.97
OI001560,O00156,P0729,2,163.47
OI001561,O00156,P0783,1,109.46
OI001562,O00156,P0537,1,60.41
OI001563,O00156,P0140,3,162.12
OI001570,O00157,P0418,1,18.26
OI001580,O00158,P0197,3,81.55
OI001581,O00158,P0749,3,121.49
OI001582,O00158,P0483,1,62.49
OI001583,O00158,P0844,1,199.15
OI001584,O00158,P0778,1,37.63
OI001590,O00159,P0294,1,124.89
OI001591,O00159,P0923,3,29.19
OI001592,O00159,P0002,1,193.44
OI001600,O00160,P0165,3,133.59
OI001610,O00161,P0511,1,54.56
OI001611,O00161,P0951,2,156.67
OI001620,O00162,P0402,3,12.08
OI001621,O00162,P0690,3,166.65
OI001622,O00162,P0687,3,90.49
OI001630,O00163,P0927,3,40.87
OI001631,O00163,P0981,1,21.58
OI001632,O00163,P0352,3,40.83
OI001640,O00164,P0929,1,40.37
OI001641,O00164,P0540,3,84.72
OI001642,O00164,P0372,2,159.78
OI001643,O00164,P0843,1,189.75
OI001644,O00164,P0094,3,170.81
OI001650,O00165,P0160,2,16.17
OI001660,O00166,P0926,2,121.31
OI001670,O00167,P0510,3,197.06
OI001680,O00168,P0496,1,139.62
OI001681,O00168,P0202,2,23.91
OI001682,O00168,P0456,1,193.95
OI001683,O00168,P0892,2,107.51
OI001690,O00169,P0995,1,177.02
OI001700,O00170,P0636,3,152.93
OI001710,O00171,P0001,1,154.01
OI001720,O00172,P0599,1,114.97
OI001721,O00172,P0200,3,89.76
OI001722,O00172,P0980,1,29.45
OI001723,O00172,P0506,3,162.49
OI001724,O00172,P1000,3,47.57
OI001730,O00173,P0983,2,98.4
OI001740,O00174,P0630,2,26.64
OI001741,O00174,P0171,1,153.76
OI001750,O00175,P0571,1,70.26
OI001751,O00175,P0210,3,62.62
OI001752,O00175,P0964,2,169.19
OI001753,O00175,P0680,3,24.47
OI001754,O00175,P0203,1,89.18
OI001760,O00176,P0716,3,123.97
OI001761,O00176,P0206,3,190.3
OI001762,O00176,P0284,1,97.5
OI001763,O00176,P0771,1,26.16
OI001770,O00177,P0154,3,20.55
OI001771,O00177,P0886,1,28.54
OI001780,O00178,P0293,1,145.1
OI001781,O00178,P0608,2,84.16
OI001790,O00179,P0252,1,180.47
OI001791,O00179,P0418,1,18.26
OI001792,O00179,P0230,3,22.94
OI001800,O00180,P0062,2,150.9
OI001810,O00181,P0781,1,60.9
OI001811,O00181,P0836,2,102.42
OI001812,O00181,P0045,1,16.91
OI001813,O00181,P0763,2,121.06
OI001820,O00182,P0080,3,197.5
OI001821,O00182,P0482,2,124.77
OI001822,O00182,P0056,3,75.04
OI001823,O00182,P0525,3,116.71
OI001824,O00182,P0757,2,183.43
OI001830,O00183,P0022,1,48.61
OI001831,O00183,P0392,3,143.02
OI001840,O00184,P0152,3,21.83
OI001841,O00184,P0086,3,100.37
OI001850,O00185,P0858,1,87.32
OI001860,O00186,P0063,2,113.42
OI001870,O00187,P0092,3,49.09
OI001871,O00187,P0627,3,191.23
OI001872,O00187,P0090,3,132.54
OI001873,O00187,P0047,1,162.14
OI001874,O00187,P0960,3,128.19
OI001880,O00188,P0812,2,40.54
OI001890,O00189,P0382,1,63.28
OI001891,O00189,P0805,3,14.62
OI001892,O00189,P0578,2,166.09
OI001893,O00189,P0399,3,85.0
OI001894,O00189,P0936,3,144.57
OI001900,O00190,P0588,1,189.59
OI001910,O00191,P0384,3,144.06
OI001911,O00191,P0602,1,78.4
OI001912,O00191,P0516,3,143.85
OI001920,O00192,P0731,2,100.41
OI001921,O00192,P0395,1,24.81
OI001922,O00192,P0086,2,100.37
OI001930,O00193,P0203,1,89.18
OI001931,O00193,P0563,2,181.68
OI001932,O00193,P0041,1,18.59
OI001940,O00194,P0012,3,184.04
OI001941,O00194,P0924,2,15.72
OI001950,O00195,P0450,3,180.43
OI001951,O00195,P0736,1,166.84
OI001952,O00195,P0054,2,42.19
OI001960,O00196,P0807,3,44.17
OI001961,O00196,P0623,1,46.51
OI001962,O00196,P0119,3,121.19
OI001963,O00196,P0903,2,180.48
OI001964,O00196,P0676,3,122.78
OI001970,O00197,P0523,3,80.13
OI001971,O00197,P0480,2,23.11
OI001980,O00198,P0068,2,122.97
OI001981,O00198,P0034,3,131.83
OI001982,O00198,P0642,3,82.72
OI001983,O00198,P0141,2,194.03
OI001984,O00198,P0166,1,128.19
OI001990,O00199,P0739,3,138.15
OI001991,O00199,P0883,3,38.87
OI001992,O00199,P0305,2,80.91
OI002000,O00200,P0445,1,68.85
OI002001,O00200,P0360,3,139.34
OI002002,O00200,P0624,3,146.33
OI002010,O00201,P0959,1,134.93
OI002011,O00201,P0336,2,111.4
OI002012,O00201,P0879,2,23.0
OI002013,O00201,P0391,2,139.25
OI002020,O00202,P0128,2,90.42
OI002021,O00202,P0250,3,30.04
OI002030,O00203,P0506,1,162.49
OI002031,O00203,P0279,2,69.32
OI002040,O00204,P0824,3,55.25
OI002041,O00204,P0076,2,177.94
OI002042,O00204,P0449,2,43.65
OI002050,O00205,P0080,2,197.5
OI002060,O00206,P0093,1,189.84
OI002061,O00206,P0850,1,165.0
OI002062,O00206,P0677,1,43.09
OI002063,O00206,P0526,2,158.3
OI002064,O00206,P0417,1,155.17
OI002070,O00207,P0769,3,178.79
OI002071,O00207,P0278,3,57.74
OI002072,O00207,P0660,2,16.59
OI002073,O00207,P0395,3,24.81
OI002080,O00208,P0478,2,56.67
OI002090,O00209,P0315,1,127.04
OI002091,O00209,P0212,1,45.22
OI002092,O00209,P0626,1,37.85
OI002100,O00210,P0312,3,54.71
OI002101,O00210,P0142,1,105.46
OI002102,O00210,P0927,2,40.87
OI002103,O00210,P0521,2,11.99
OI002104,O00210,P0964,2,169.19
OI002110,O00211,P0128,3,90.42
OI002111,O00211,P0088,3,161.97
OI002120,O00212,P0006,3,196.73
OI002121,O00212,P0470,1,10.7
OI002130,O00213,P0920,3,90.53
OI002140,O00214,P0505,1,146.12
OI002141,O00214,P0325,3,135.36
OI002150,O00215,P0472,3,137.98
OI002151,O00215,P0078,3,45.72
OI002152,O00215,P0058,2,99.61
OI002153,O00215,P0292,2,180.93
OI002154,O00215,P0355,2,114.59
OI002160,O00216,P0581,3,22.69
OI002170,O00217,P0083,3,110.39
OI002171,O00217,P0149,2,67.46
OI002172,O00217,P0265,1,136.47
OI002173,O00217,P0389,3,161.71
OI002174,O00217,P0146,2,166.88
OI002180,O00218,P0823,1,174.52
OI002181,O00218,P0442,1,78.0
OI002182,O00218,P0568,3,167.41
OI002183,O00218,P0525,1,116.71
OI002190,O00219,P0114,2,152.48
OI002191,O00219,P0621,2,185.68
OI002192,O00219,P0079,1,195.93
OI002200,O00220,P0690,2,166.65
OI002201,O00220,P0723,3,188.14
OI002210,O00221,P0893,1,119.6
OI002211,O00221,P0551,1,11.7
OI002212,O00221,P0728,2,60.38
OI002213,O00221,P0305,3,80.91
OI002220,O00222,P0926,1,121.31
OI002221,O00222,P0881,3,149.76
OI002222,O00222,P0941,1,50.47
OI002223,O00222,P0007,2,68.93
OI002224,O00222,P0966,1,115.95
OI002230,O00223,P0329,1,21.65
OI002240,O00224,P0592,1,32.86
OI002241,O00224,P0177,3,106.35
OI002242,O00224,P0887,2,137.96
OI002250,O00225,P0589,1,14.59
OI002260,O00226,P0845,1,106.16
OI002261,O00226,P0060,1,77.86
OI002262,O00226,P0088,2,161.97
OI002270,O00227,P0059,1,176.21
OI002271,O00227,P0961,3,87.96
OI002280,O00228,P0136,1,144.21
OI002281,O00228,P0928,1,166.27
OI002290,O00229,P0103,1,34.63
OI002291,O00229,P0227,3,123.13
OI002292,O00229,P0750,1,182.13
OI002300,O00230,P0106,2,86.6
OI002301,O00230,P0201,3,124.23
OI002302,O00230,P0721,2,125.63
OI002310,O00231,P0806,3,118.28
OI002311,O00231,P0175,1,53.63
OI002312,O00231,P0889,1,123.72
OI002313,O00231,P0377,1,190.46
OI002314,O00231,P0198,3,162.83
OI002320,O00232,P0805,1,14.62
OI002330,O00233,P0960,3,128.19
OI002331,O00233,P0669,1,25.82
OI002332,O00233,P0825,3,37.83
OI002333,O00233,P0512,3,75.84
OI002334,O00233,P0531,3,184.74
OI002340,O00234,P0559,2,53.44
OI002341,O00234,P0168,1,184.21
OI002342,O00234,P0604,3,45.65
OI002343,O00234,P0339,3,42.55
OI002350,O00235,P0333,1,95.3
OI002351,O00235,P0265,3,136.47
OI002360,O00236,P0937,3,21.14
OI002361,O00236,P0380,2,124.96
OI002362,O00236,P0422,3,48.3
OI002370,O00237,P0696,3,48.47
OI002371,O00237,P0657,1,126.56
OI002372,O00237,P0022,2,48.61
OI002373,O00237,P0080,2,197.5
OI002374,O00237,P0668,3,62.6
OI002380,O00238,P0456,3,193.95
OI002381,O00238,P0881,3,149.76
OI002382,O00238,P0611,2,45.65
OI002390,O00239,P0768,1,11.53
OI002391,O00239,P0116,3,95.22
OI002392,O00239,P0524,2,102.44
OI002393,O00239,P0751,2,15.96
OI002400,O00240,P0286,3,88.66
OI002401,O00240,P0140,1,162.12
OI002402,O00240,P0181,1,160.36
OI002410,O00241,P0328,3,38.73
OI002420,O00242,P0700,1,56.24
OI002430,O00243,P0171,1,153.76
OI002431,O00243,P0749,3,121.49
OI002432,O00243,P0419,3,142.49
OI002433,O00243,P0531,1,184.74
OI002440,O00244,P0039,3,73.18
OI002441,O00244,P0877,2,90.29
OI002442,O00244,P0525,2,116.71
OI002450,O00245,P0500,2,145.05
OI002451,O00245,P0594,2,43.95
OI002452,O00245,P0234,2,65.53
OI002453,O00245,P0233,2,113.28
OI002454,O00245,P0061,1,39.15
OI002460,O00246,P0174,3,136.64
OI002461,O00246,P0373,1,33.91
OI002462,O00246,P0884,1,94.3
OI002470,O00247,P0777,2,20.41
OI002471,O00247,P0924,2,15.72
OI002472,O00247,P0603,3,194.09
OI002480,O00248,P0743,2,120.59
OI002481,O00248,P0251,2,82.98
OI002482,O00248,P0414,2,38.02
OI002483,O00248,P0039,2,73.18
OI002484,O00248,P0069,1,55.49
OI002490,O00249,P0346,1,29.7
OI002491,O00249,P0562,2,198.68
OI002492,O00249,P0183,2,147.28
OI002493,O00249,P0467,2,186.76
OI002494,O00249,P0671,2,16.67
OI002500,O00250,P0069,1,55.49
OI002501,O00250,P0756,2,62.13
OI002502,O00250,P0470,2,10.7
OI002510,O00251,P0437,2,35.86
OI002511,O00251,P0811,2,178.56
OI002512,O00251,P0169,2,196.85
OI002513,O00251,P0308,3,14.8
OI002514,O00251,P0866,3,37.64
OI002520,O00252,P0485,1,37.4
OI002521,O00252,P0398,2,185.48
OI002522,O00252,P0630,3,26.64
OI002530,O00253,P0798,2,175.18
OI002531,O00253,P0039,3,73.18
OI002532,O00253,P0299,2,107.9
OI002533,O00253,P0789,2,73.04
OI002534,O00253,P0473,1,89.56
OI002540,O00254,P0488,2,97.78
OI002541,O00254,P0402,1,12.08
OI002550,O00255,P0805,2,14.62
OI002551,O00255,P0366,2,176.37
OI002552,O00255,P0659,3,173.63
OI002553,O00255,P0817,3,166.92
OI002560,O00256,P0922,3,139.67
OI002570,O00257,P0011,1,59.49
