return_id,order_id,product_id,return_date,reason
R00148,O00220,P0723,2024-12-04,Late delivery
R00149,O00221,P0893,2024-01-26,Damaged item
R00150,O00221,P0551,2024-02-02,No longer needed
R00151,O00221,P0728,2024-01-22,No longer needed
R00152,O00221,P0305,2024-02-02,Wrong item
R00153,O00226,P0845,2025-02-19,Late delivery
R00154,O00226,P0060,2025-02-17,Late delivery
R00155,O00226,P0088,2025-02-27,No longer needed
R00156,O00230,P0106,2023-09-03,Late delivery
R00157,O00230,P0201,2023-09-01,Damaged item
R00158,O00230,P0721,2023-09-04,Wrong item
R00159,O00234,P0559,2024-09-23,Damaged item
R00160,O00234,P0168,2024-09-30,Late delivery
R00161,O00234,P0604,2024-10-04,No longer needed
R00162,O00234,P0339,2024-10-03,No longer needed
R00163,O00235,P0333,2023-06-12,Late delivery
R00164,O00235,P0265,2023-06-12,Late delivery
R00165,O00237,P0696,2024-02-07,Wrong item
R00166,O00237,P0657,2024-02-13,Wrong item
R00167,O00237,P0022,2024-02-18,Wrong item
R00168,O00237,P0080,2024-02-15,Damaged item
R00169,O00237,P0668,2024-02-08,Wrong item
R00170,O00238,P0456,2023-06-19,Damaged item
R00171,O00238,P0881,2023-06-21,No longer needed
R00172,O00238,P0611,2023-06-30,Damaged item
R00173,O00240,P0286,2024-04-21,Late delivery
R00174,O00240,P0140,2024-04-15,Damaged item
R00175,O00240,P0181,2024-04-27,Damaged item
R00176,O00245,P0500,2023-11-18,Damaged item
R00177,O00245,P0594,2023-11-24,Late delivery
R00178,O00245,P0234,2023-11-15,Late delivery
R00179,O00245,P0233,2023-11-21,No longer needed
R00180,O00245,P0061,2023-11-23,No longer needed
R00181,O00251,P0437,2024-12-14,Damaged item
R00182,O00251,P0811,2024-12-13,Late delivery
R00183,O00251,P0169,2024-12-16,Damaged item
R00184,O00251,P0308,2024-12-22,Wrong item
R00185,O00251,P0866,2024-12-22,Late delivery
R00186,O00260,P0837,2025-04-04,No longer needed
R00187,O00260,P0981,2025-04-12,No longer needed
R00188,O00260,P0659,2025-04-05,Wrong item
R00189,O00260,P0213,2025-04-05,No longer needed
R00190,O00260,P0113,2025-04-04,Late delivery
R00191,O00264,P0805,2025-03-21,Damaged item
R00192,O00264,P0378,2025-03-18,Damaged item
R00193,O00267,P0592,2024-11-02,Late delivery
R00194,O00267,P0238,2024-10-30,Damaged item
R00195,O00267,P0486,2024-10-23,Damaged item
R00196,O00274,P0740,2023-07-01,Wrong item
R00197,O00275,P0681,2024-04-20,Damaged item
R00198,O00291,P0378,2023-06-26,Late delivery
R00199,O00293,P0493,2023-10-10,No longer needed
R00200,O00293,P0834,2023-10-14,Late delivery
R00201,O00301,P0755,2025-01-02,Late delivery
R00202,O00301,P0326,2025-01-02,No longer needed
R00203,O00301,P0951,2024-12-22,Late delivery
R00204,O00301,P0580,2024-12-23,Wrong item
R00205,O00301,P0914,2024-12-29,Damaged item
R00206,O00304,P0061,2025-01-22,Damaged item
R00207,O00305,P0980,2024-02-24,Wrong item
R00208,O00305,P0527,2024-02-24,Damaged item
R00209,O00305,P0297,2024-02-24,Damaged item
R00210,O00306,P0470,2023-09-07,Damaged item
R00211,O00306,P0527,2023-09-12,Wrong item
R00212,O00306,P0396,2023-09-04,Late delivery
R00213,O00312,P0375,2023-10-26,Wrong item
R00214,O00319,P0152,2024-01-09,Late delivery
R00215,O00319,P0746,2024-01-12,Damaged item
R00216,O00319,P0491,2024-01-15,Late delivery
R00217,O00319,P0886,2024-01-06,Wrong item
R00218,O00320,P0993,2024-06-09,Damaged item
R00219,O00320,P0426,2024-06-06,Damaged item
R00220,O00323,P0956,2025-02-01,Damaged item
R00221,O00323,P0286,2025-01-20,Damaged item
R00222,O00323,P0885,2025-01-22,Wrong item
R00223,O00323,P0876,2025-01-20,No longer needed
R00224,O00324,P0711,2024-11-29,Damaged item
R00225,O00333,P0285,2023-10-14,Late delivery
R00226,O00333,P0969,2023-10-11,Late delivery
R00227,O00336,P0998,2023-07-25,Damaged item
R00228,O00336,P0899,2023-08-01,No longer needed
R00229,O00336,P0335,2023-08-01,Wrong item
R00230,O00336,P0068,2023-08-03,No longer needed
R00231,O00336,P0553,2023-08-04,Damaged item
R00232,O00351,P0017,2023-08-03,Damaged item
R00233,O00351,P0592,2023-08-03,Late delivery
R00234,O00351,P0224,2023-08-08,Damaged item
R00235,O00351,P0631,2023-08-06,Damaged item
R00236,O00352,P0198,2023-09-03,Damaged item
R00237,O00355,P0487,2024-08-05,Late delivery
R00238,O00355,P0114,2024-08-08,Damaged item
R00239,O00363,P0816,2024-01-07,Late delivery
R00240,O00363,P0443,2024-01-08,Late delivery
R00241,O00363,P0277,2024-01-09,Wrong item
R00242,O00364,P0071,2024-06-07,Wrong item
R00243,O00364,P0526,2024-06-01,Wrong item
R00244,O00378,P0529,2024-02-25,Wrong item
R00245,O00378,P0242,2024-02-26,Wrong item
R00246,O00378,P0017,2024-02-23,Damaged item
R00247,O00382,P0901,2024-09-21,No longer needed
R00248,O00382,P0619,2024-10-01,Wrong item
R00249,O00382,P0970,2024-10-03,Damaged item
R00250,O00390,P0604,2023-07-08,Late delivery
R00251,O00391,P0933,2024-09-16,Damaged item
R00252,O00391,P0510,2024-09-11,Damaged item
R00253,O00391,P0227,2024-09-17,Late delivery
R00254,O00391,P0245,2024-09-17,Late delivery
R00255,O00398,P0483,2024-10-12,No longer needed
R00256,O00398,P0376,2024-10-07,Wrong item
R00257,O00398,P0748,2024-10-01,Damaged item
R00258,O00398,P0938,2024-10-14,Wrong item
R00259,O00398,P0814,2024-10-13,Damaged item
R00260,O00401,P0434,2023-05-04,Wrong item
R00261,O00401,P0075,2023-05-13,Damaged item
R00262,O00402,P0957,2023-12-12,Wrong item
R00263,O00402,P0347,2023-12-07,No longer needed
R00264,O00402,P0455,2023-12-13,Damaged item
R00265,O00402,P0552,2023-12-17,No longer needed
R00266,O00402,P0306,2023-12-15,Damaged item
R00267,O00404,P0932,2024-07-15,Late delivery
R00268,O00404,P0427,2024-07-04,No longer needed
R00269,O00404,P0592,2024-07-13,Damaged item
R00270,O00410,P0888,2023-10-02,Damaged item
R00271,O00412,P0144,2023-07-15,No longer needed
R00272,O00412,P0193,2023-07-03,Wrong item
R00273,O00412,P0969,2023-07-04,No longer needed
R00274,O00412,P0969,2023-07-15,Wrong item
R00275,O00414,P0293,2023-06-06,Wrong item
R00276,O00414,P0576,2023-05-31,Damaged item
R00277,O00414,P0287,2023-06-11,No longer needed
R00278,O00414,P0823,2023-05-31,Damaged item
R00279,O00421,P0922,2025-03-20,Late delivery
R00280,O00421,P0136,2025-03-25,Late delivery
R00281,O00421,P0648,2025-03-28,Late delivery
R00282,O00421,P0652,2025-03-15,No longer needed
R00283,O00429,P0143,2024-06-16,No longer needed
R00284,O00429,P0514,2024-06-21,Damaged item
R00285,O00431,P0826,2024-04-11,Damaged item
R00286,O00431,P0726,2024-04-04,No longer needed
R00287,O00431,P0292,2024-04-11,No longer needed
R00288,O00431,P0542,2024-04-16,Wrong item
R00289,O00431,P0408,2024-04-09,Damaged item
R00290,O00435,P0789,2024-05-06,Damaged item
R00291,O00435,P0353,2024-05-02,Damaged item
R00292,O00435,P0459,2024-05-05,Wrong item
R00293,O00446,P0789,2024-07-26,Damaged item
R00294,O00446,P0901,2024-07-27,Damaged item
R00295,O00446,P0815,2024-07-26,No longer needed
R00296,O00446,P0883,2024-07-25,No longer needed
R00297,O00446,P0839,2024-07-25,No longer needed
R00298,O00448,P0981,2023-08-07,Late delivery
R00299,O00448,P0159,2023-08-13,Wrong item
R00300,O00448,P0208,2023-08-01,Damaged item
R00301,O00448,P0921,2023-08-05,Late delivery
R00302,O00457,P0921,2025-04-10,Late delivery
R00303,O00457,P0624,2025-04-16,Wrong item
R00304,O00457,P0577,2025-04-22,No longer needed
R00305,O00460,P0170,2024-08-06,No longer needed
R00306,O00460,P0122,2024-08-07,Wrong item
R00307,O00460,P0062,2024-08-07,No longer needed
R00308,O00460,P0697,2024-08-06,Late delivery
R00309,O00460,P0528,2024-07-29,Wrong item
R00310,O00466,P0658,2025-04-06,Late delivery
R00311,O00466,P0162,2025-03-30,No longer needed
R00312,O00466,P0081,2025-03-30,Wrong item
R00313,O00466,P0458,2025-04-04,Damaged item
R00314,O00483,P0898,2024-05-28,No longer needed
R00315,O00489,P0650,2025-03-29,Wrong item
R00316,O00489,P0814,2025-04-02,Damaged item
R00317,O00489,P0941,2025-03-25,Damaged item
R00318,O00491,P0177,2023-09-13,No longer needed
R00319,O00491,P0432,2023-09-21,Wrong item
R00320,O00491,P0487,2023-09-11,Damaged item
R00321,O00491,P0342,2023-09-18,Wrong item
R00322,O00493,P0005,2024-02-02,Damaged item
R00323,O00493,P0800,2024-02-03,No longer needed
R00324,O00493,P0107,2024-01-30,Wrong item
R00325,O00493,P0752,2024-02-08,Late delivery
R00326,O00499,P0500,2024-08-29,Wrong item
R00327,O00499,P0050,2024-08-29,Damaged item
R00328,O00499,P0460,2024-09-06,Late delivery
R00329,O00499,P0607,2024-09-07,Wrong item
R00330,O00506,P0152,2023-09-05,No longer needed
R00331,O00506,P0213,2023-08-29,Damaged item
R00332,O00506,P0239,2023-09-08,Wrong item
R00333,O00506,P0167,2023-09-02,Damaged item
R00334,O00506,P0508,2023-09-10,No longer needed
R00335,O00507,P0349,2023-08-26,Wrong item
R00336,O00508,P0643,2025-03-21,No longer needed
R00337,O00509,P0845,2024-02-14,No longer needed
R00338,O00509,P0963,2024-02-13,Damaged item
R00339,O00509,P0848,2024-02-15,Damaged item
R00340,O00509,P0056,2024-02-14,No longer needed
R00341,O00510,P0083,2023-08-17,Late delivery
R00342,O00510,P0285,2023-08-12,Late delivery
R00343,O00510,P0450,2023-08-21,No longer needed
R00344,O00510,P0559,2023-08-23,Damaged item
R00345,O00510,P0464,2023-08-24,Damaged item
R00346,O00515,P0831,2024-11-29,No longer needed
R00347,O00515,P0338,2024-11-25,Damaged item
R00348,O00515,P0875,2024-11-24,Damaged item
R00349,O00520,P0885,2025-03-27,Wrong item
R00350,O00520,P0417,2025-03-20,Late delivery
R00351,O00520,P0427,2025-03-21,No longer needed
R00352,O00520,P0212,2025-03-23,Wrong item
R00353,O00520,P0688,2025-03-22,Wrong item
R00354,O00521,P0097,2023-05-28,Damaged item
R00355,O00525,P0258,2024-04-05,Wrong item
R00356,O00538,P0083,2024-08-30,Wrong item
R00357,O00542,P0153,2024-02-22,Damaged item
R00358,O00542,P0179,2024-03-02,Late delivery
R00359,O00542,P0513,2024-02-22,Wrong item
R00360,O00542,P0017,2024-02-25,Wrong item
R00361,O00553,P0388,2023-12-09,Wrong item
R00362,O00553,P0894,2023-12-03,No longer needed
R00363,O00556,P0571,2024-04-02,Wrong item
R00364,O00560,P0374,2024-09-02,Damaged item
R00365,O00560,P0036,2024-09-06,Damaged item
R00366,O00560,P0214,2024-09-05,Late delivery
R00367,O00584,P0439,2023-09-26,Late delivery
R00368,O00584,P0532,2023-10-07,No longer needed
R00369,O00584,P0199,2023-10-09,Damaged item
R00370,O00584,P0512,2023-10-09,No longer needed
R00371,O00584,P0196,2023-10-07,Late delivery
R00372,O00585,P0743,2023-07-25,Damaged item
R00373,O00585,P0323,2023-07-16,Damaged item
R00374,O00585,P0215,2023-07-23,Late delivery
R00375,O00585,P0430,2023-07-23,Late delivery
R00376,O00585,P0340,2023-07-23,Wrong item
R00377,O00586,P0067,2023-05-04,Late delivery
R00378,O00587,P0551,2024-07-22,Damaged item
R00379,O00587,P0938,2024-07-22,Wrong item
R00380,O00587,P0673,2024-07-24,No longer needed
R00381,O00591,P0390,2024-03-14,No longer needed
R00382,O00591,P0587,2024-03-17,No longer needed
R00383,O00592,P0811,2024-10-05,Wrong item
R00384,O00592,P0195,2024-10-04,Late delivery
R00385,O00594,P0703,2025-02-01,Wrong item
R00386,O00594,P0684,2025-01-28,No longer needed
R00387,O00599,P0892,2023-09-01,Wrong item
R00388,O00602,P0372,2023-10-20,No longer needed
R00389,O00610,P0454,2025-04-07,No longer needed
R00390,O00610,P0436,2025-04-12,Late delivery
R00391,O00610,P0421,2025-04-14,Damaged item
R00392,O00610,P0199,2025-04-12,No longer needed
R00393,O00610,P0805,2025-04-09,Late delivery
R00394,O00612,P0736,2023-09-28,Wrong item
R00395,O00612,P0670,2023-10-08,Damaged item
R00396,O00612,P0280,2023-10-05,Late delivery
R00397,O00612,P0488,2023-09-28,No longer needed
R00398,O00612,P0844,2023-10-01,Damaged item
R00399,O00614,P0859,2024-07-28,Wrong item
R00400,O00614,P0025,2024-07-16,Damaged item
R00401,O00614,P0435,2024-07-22,No longer needed
R00402,O00614,P0229,2024-07-21,Wrong item
R00403,O00614,P0094,2024-07-18,Late delivery
R00404,O00616,P0202,2024-10-02,Wrong item
R00405,O00616,P0291,2024-10-09,Wrong item
R00406,O00620,P0141,2024-05-17,No longer needed
R00407,O00620,P0871,2024-05-12,Damaged item
R00408,O00620,P0167,2024-05-14,Wrong item
R00409,O00620,P0375,2024-05-23,Damaged item
R00410,O00620,P0298,2024-05-24,Wrong item
R00411,O00621,P0725,2024-08-08,No longer needed
R00412,O00622,P0461,2024-05-23,Late delivery
R00413,O00626,P0927,2023-10-03,No longer needed
R00414,O00627,P0204,2025-02-03,Wrong item
R00415,O00627,P0316,2025-02-14,Damaged item
R00416,O00627,P0553,2025-02-03,Wrong item
R00417,O00627,P0110,2025-02-01,No longer needed
R00418,O00627,P0008,2025-02-13,Late delivery
R00419,O00629,P0036,2024-01-10,Late delivery
R00420,O00629,P0685,2024-01-12,No longer needed
R00421,O00630,P0299,2024-04-25,No longer needed
R00422,O00630,P0243,2024-04-23,Late delivery
R00423,O00632,P0546,2023-12-10,Wrong item
R00424,O00632,P0982,2023-12-14,Damaged item
R00425,O00638,P0097,2023-05-16,No longer needed
R00426,O00639,P0176,2025-01-11,Late delivery
R00427,O00639,P0380,2025-01-15,Damaged item
R00428,O00639,P0374,2025-01-15,No longer needed
R00429,O00644,P0172,2024-02-03,Damaged item
R00430,O00644,P0414,2024-02-02,Late delivery
R00431,O00644,P0208,2024-01-29,Damaged item
R00432,O00646,P0505,2023-10-25,Damaged item
R00433,O00646,P0908,2023-10-29,Late delivery
R00434,O00646,P0474,2023-11-04,Late delivery
R00435,O00646,P0795,2023-10-23,Late delivery
R00436,O00646,P0831,2023-10-26,Wrong item
R00437,O00647,P0541,2025-04-14,Late delivery
R00438,O00647,P0916,2025-04-16,Damaged item
R00439,O00650,P0196,2025-03-03,Wrong item
R00440,O00650,P0918,2025-03-09,Late delivery
R00441,O00650,P0211,2025-03-07,No longer needed
R00442,O00655,P0098,2023-06-09,Late delivery
R00443,O00655,P0831,2023-06-17,Damaged item
R00444,O00655,P0940,2023-06-12,Wrong item
R00445,O00655,P0061,2023-06-19,No longer needed
R00446,O00655,P0092,2023-06-19,Late delivery
R00447,O00656,P0823,2024-03-21,Wrong item
R00448,O00656,P0796,2024-03-28,No longer needed
R00449,O00660,P0292,2024-11-05,Late delivery
R00450,O00660,P0213,2024-11-12,Late delivery
R00451,O00661,P0427,2023-05-16,No longer needed
R00452,O00661,P0407,2023-05-21,Wrong item
R00453,O00661,P0478,2023-05-27,Damaged item
R00454,O00661,P0604,2023-05-27,No longer needed
R00455,O00661,P0088,2023-05-19,Wrong item
R00456,O00662,P0010,2024-09-28,Wrong item
R00457,O00663,P0021,2023-06-15,Late delivery
R00458,O00671,P0718,2023-05-22,Damaged item
R00459,O00671,P0213,2023-06-01,Damaged item
R00460,O00671,P0696,2023-05-23,Damaged item
R00461,O00671,P0665,2023-05-28,Late delivery
R00462,O00682,P0429,2024-02-29,Late delivery
R00463,O00682,P0709,2024-02-25,Wrong item
R00464,O00693,P0750,2024-03-17,No longer needed
R00465,O00693,P0368,2024-03-19,Late delivery
R00466,O00693,P0856,2024-03-11,Wrong item
R00467,O00693,P0371,2024-03-15,Wrong item
R00468,O00695,P0840,2023-05-15,No longer needed
R00469,O00695,P0323,2023-05-20,Wrong item
R00470,O00695,P0953,2023-05-21,Wrong item
R00471,O00698,P0257,2023-10-02,No longer needed
R00472,O00698,P0466,2023-09-26,No longer needed
R00473,O00704,P0956,2024-02-25,No longer needed
R00474,O00704,P0795,2024-03-09,Late delivery
R00475,O00704,P0467,2024-02-29,No longer needed
R00476,O00704,P0451,2024-03-07,Late delivery
R00477,O00704,P0618,2024-03-06,No longer needed
R00478,O00705,P0449,2024-11-23,Late delivery
R00479,O00705,P0758,2024-11-26,Damaged item
R00480,O00705,P0093,2024-11-16,No longer needed
R00481,O00705,P0619,2024-11-18,Damaged item
R00482,O00709,P0877,2023-07-24,No longer needed
R00483,O00709,P0967,2023-07-16,Late delivery
R00484,O00709,P0399,2023-07-12,Wrong item
R00485,O00718,P0151,2024-01-12,Damaged item
R00486,O00725,P0098,2025-01-25,Damaged item
R00487,O00725,P0947,2025-02-03,Wrong item
R00488,O00725,P0374,2025-01-23,Damaged item
R00489,O00725,P0703,2025-01-26,Late delivery
R00490,O00726,P0091,2025-01-22,Wrong item
R00491,O00729,P0879,2023-08-08,No longer needed
R00492,O00729,P0893,2023-08-14,No longer needed
R00493,O00729,P0208,2023-08-16,Damaged item
R00494,O00729,P0085,2023-08-12,No longer needed
R00495,O00731,P0114,2024-01-01,Damaged item
R00496,O00731,P0982,2024-01-03,Late delivery
R00497,O00731,P0685,2023-12-27,Wrong item
R00498,O00741,P0936,2024-12-05,Damaged item
R00499,O00745,P0820,2025-01-09,Damaged item
R00500,O00745,P0897,2025-01-19,Late delivery
R00501,O00745,P0260,2025-01-18,Damaged item
R00502,O00745,P0490,2025-01-18,No longer needed
R00503,O00746,P0358,2024-01-05,No longer needed
R00504,O00746,P0430,2024-01-05,Damaged item
R00505,O00746,P0518,2024-01-09,Damaged item
R00506,O00749,P0428,2023-10-21,Late delivery
R00507,O00749,P0288,2023-10-15,Late delivery
R00508,O00749,P0577,2023-10-18,Wrong item
R00509,O00752,P0271,2023-05-05,Wrong item
R00510,O00764,P0071,2024-04-01,Late delivery
R00511,O00766,P0538,2023-10-26,Wrong item
R00512,O00770,P0177,2024-01-27,No longer needed
R00513,O00770,P0055,2024-01-30,Late delivery
R00514,O00770,P0426,2024-01-27,Wrong item
R00515,O00770,P0242,2024-01-20,Late delivery
R00516,O00776,P0415,2024-10-04,No longer needed
R00517,O00776,P0189,2024-09-29,Damaged item
R00518,O00780,P0711,2024-11-05,No longer needed
R00519,O00780,P0126,2024-11-15,Wrong item
R00520,O00780,P0802,2024-11-13,No longer needed
R00521,O00780,P0435,2024-11-10,Wrong item
R00522,O00780,P0274,2024-11-07,Wrong item
R00523,O00783,P0187,2024-12-29,Damaged item
R00524,O00791,P0570,2024-11-17,Late delivery
R00525,O00791,P0578,2024-11-15,No longer needed
R00526,O00797,P0854,2024-09-27,No longer needed
R00527,O00797,P0699,2024-09-29,Damaged item
R00528,O00797,P0754,2024-09-30,Damaged item
R00529,O00797,P0589,2024-09-29,No longer needed
R00530,O00802,P0241,2023-09-15,Wrong item
R00531,O00802,P0350,2023-09-18,No longer needed
R00532,O00802,P0286,2023-09-13,No longer needed
R00533,O00802,P0954,2023-09-09,Damaged item
R00534,O00802,P0594,2023-09-09,Late delivery
R00535,O00804,P0291,2023-11-13,No longer needed
R00536,O00804,P0087,2023-11-10,Damaged item
R00537,O00804,P0920,2023-11-12,Late delivery
R00538,O00804,P0591,2023-11-07,No longer needed
R00539,O00807,P0023,2023-08-04,Damaged item
R00540,O00807,P0729,2023-08-07,Damaged item
R00541,O00809,P0638,2023-07-08,Wrong item
R00542,O00809,P0199,2023-07-03,Damaged item
R00543,O00813,P0473,2023-08-06,Damaged item
R00544,O00815,P0374,2024-01-26,Late delivery
R00545,O00815,P0853,2024-02-03,Wrong item
R00546,O00815,P0148,2024-01-24,No longer needed
R00547,O00815,P0532,2024-02-03,Damaged item
R00548,O00817,P0747,2023-05-12,Wrong item
R00549,O00821,P0387,2024-12-07,No longer needed
R00550,O00821,P0706,2024-12-08,Damaged item
R00551,O00821,P0557,2024-12-05,No longer needed
R00552,O00825,P0557,2024-04-03,No longer needed
R00553,O00825,P0102,2024-04-03,Damaged item
R00554,O00825,P0129,2024-03-31,No longer needed
R00555,O00826,P0552,2024-05-25,No longer needed
R00556,O00829,P0714,2025-01-19,Wrong item
R00557,O00829,P0242,2025-01-12,No longer needed
R00558,O00829,P0012,2025-01-13,Late delivery
