order_id,customer_id,order_date,total_amount,status
O00373,C02611,2024-04-23,690.36,Cancelled
O00374,C00881,2025-02-17,400.38,Delivered
O00375,C01420,2024-12-05,461.28,Cancelled
O00376,C01315,2024-12-21,1511.46,Cancelled
O00377,C02464,2024-04-20,490.29,Shipped
O00378,C04689,2024-02-14,860.94,Returned
O00379,C02286,2025-03-10,982.95,Delivered
O00380,C04397,2024-07-25,452.94,Shipped
O00381,C01258,2023-10-12,307.84,Cancelled
O00382,C04416,2024-09-19,1041.14,Returned
O00383,C02081,2023-05-23,875.51,Delivered
O00384,C00911,2024-05-18,785.84,Shipped
O00385,C03733,2023-06-09,821.49,Cancelled
O00386,C03346,2024-02-10,949.29,Cancelled
O00387,C00686,2024-05-17,915.99,Shipped
O00388,C01803,2023-10-30,1191.78,Delivered
O00389,C01118,2024-02-01,1216.9,Cancelled
O00390,C02173,2023-06-28,136.95,Returned
O00391,C02331,2024-09-04,869.31,Returned
O00392,C01696,2024-05-10,596.26,Delivered
O00393,C04510,2024-12-13,534.48,Cancelled
O00394,C00846,2024-05-23,381.61,Delivered
O00395,C04100,2024-01-22,673.96,Shipped
O00396,C02684,2023-06-27,461.16,Delivered
O00397,C03078,2023-08-31,680.77,Cancelled
O00398,C04654,2024-09-30,544.03,Returned
O00399,C01317,2025-03-26,135.07,Shipped
O00400,C00643,2024-02-27,280.36,Delivered
O00401,C00227,2023-05-02,638.87,Returned
O00402,C00365,2023-12-04,780.3,Returned
O00403,C00732,2023-09-16,1094.29,Shipped
O00404,C00829,2024-07-02,770.07,Returned
O00405,C02370,2025-01-08,49.37,Shipped
O00406,C04938,2024-03-19,344.74,Delivered
O00407,C04254,2023-11-12,597.22,Delivered
O00408,C00606,2024-07-12,1157.27,Cancelled
O00409,C00657,2024-09-20,1147.07,Delivered
O00410,C03440,2023-09-27,16.13,Returned
O00411,C02391,2024-09-19,1152.47,Delivered
O00412,C00564,2023-07-01,1632.52,Returned
O00413,C03931,2025-04-02,908.85,Delivered
O00414,C02882,2023-05-28,1178.97,Returned
O00415,C00528,2023-11-03,793.82,Cancelled
O00416,C04306,2024-04-03,587.43,Shipped
O00417,C04577,2023-11-15,1565.1,Delivered
O00418,C02277,2024-12-29,297.71,Delivered
O00419,C02884,2024-04-28,578.65,Shipped
O00420,C00380,2023-11-11,419.35,Shipped
O00421,C00383,2025-03-14,975.28,Returned
O00422,C00150,2024-02-24,382.54,Shipped
O00423,C00549,2025-02-11,258.16,Cancelled
O00424,C03586,2024-05-18,205.7,Cancelled
O00425,C04420,2024-10-29,101.25,Delivered
O00426,C04003,2023-07-07,603.56,Shipped
O00427,C04883,2024-03-01,195.03,Cancelled
O00428,C03290,2024-02-23,536.3,Shipped
O00429,C04552,2024-06-07,489.81,Returned
O00430,C04280,2023-08-23,215.67,Cancelled
O00431,C04597,2024-04-03,711.95,Returned
O00432,C00552,2024-07-02,136.12,Delivered
O00433,C03469,2023-06-03,805.57,Delivered
O00434,C00988,2024-02-11,407.94,Shipped
O00435,C04633,2024-04-30,829.65,Returned
O00436,C01933,2023-09-01,196.25,Shipped
O00437,C00179,2024-01-10,343.81,Shipped
O00438,C02333,2024-09-26,226.25,Delivered
O00439,C01916,2024-09-20,725.98,Shipped
O00440,C01106,2023-07-24,373.95,Shipped
O00441,C00514,2024-11-24,481.34,Cancelled
O00442,C04010,2024-05-03,308.83,Delivered
O00443,C02845,2023-05-12,1119.41,Cancelled
O00444,C04533,2024-06-20,280.58,Delivered
O00445,C00480,2025-02-06,720.74,Cancelled
O00446,C03827,2024-07-14,1116.09,Returned
O00447,C02797,2023-10-14,1127.13,Shipped
O00448,C02586,2023-07-30,262.36,Returned
O00449,C03074,2025-04-03,1803.02,Cancelled
O00450,C01701,2023-11-17,110.8,Cancelled
O00451,C01501,2025-02-25,318.33,Delivered
O00452,C00517,2025-03-28,439.53,Shipped
O00453,C02989,2023-10-12,194.65,Delivered
O00454,C03402,2023-07-10,932.84,Delivered
O00455,C01401,2024-05-25,926.55,Cancelled
O00456,C03353,2024-10-17,1216.44,Cancelled
O00457,C02928,2025-04-08,429.41,Returned
O00458,C02973,2024-05-04,1493.45,Cancelled
O00459,C00136,2024-06-10,395.85,Cancelled
O00460,C01697,2024-07-28,929.49,Returned
O00461,C00079,2024-12-11,689.27,Cancelled
O00462,C03365,2024-04-06,146.79,Delivered
O00463,C04503,2025-03-09,717.0,Delivered
O00464,C04398,2024-10-23,261.9,Shipped
O00465,C03814,2025-02-17,1023.44,Shipped
O00466,C00892,2025-03-26,319.13,Returned
O00467,C04691,2024-05-13,480.02,Cancelled
O00468,C01361,2023-09-25,707.19,Shipped
O00469,C04140,2023-09-13,125.94,Delivered
O00470,C03971,2023-11-20,1196.37,Shipped
O00471,C01394,2024-07-01,930.43,Delivered
O00472,C03976,2024-08-22,462.69,Shipped
O00473,C02682,2024-07-03,1075.55,Shipped
O00474,C04383,2024-10-26,747.28,Cancelled
O00475,C01280,2023-08-06,1043.34,Cancelled
O00476,C03580,2024-02-19,1240.65,Shipped
O00477,C03028,2024-11-13,923.27,Delivered
O00478,C00856,2025-02-04,1020.56,Delivered
O00479,C02914,2025-01-04,499.65,Delivered
O00480,C03007,2025-01-04,150.35,Shipped
O00481,C03074,2023-07-20,599.59,Delivered
O00482,C02607,2024-06-18,132.37,Cancelled
O00483,C02441,2024-05-20,132.45,Returned
O00484,C00702,2024-05-02,226.47,Delivered
O00485,C02666,2024-07-31,246.51,Delivered
O00486,C00058,2024-01-31,346.48,Shipped
O00487,C00025,2023-05-12,537.14,Cancelled
O00488,C04218,2024-11-05,1045.33,Cancelled
O00489,C01516,2025-03-21,720.01,Returned
O00490,C03695,2023-05-28,915.85,Cancelled
O00491,C02164,2023-09-08,1086.52,Returned
O00492,C04026,2024-09-11,688.04,Delivered
O00493,C02990,2024-01-25,634.5,Returned
O00494,C02422,2024-09-08,1530.68,Shipped
O00495,C02839,2024-12-25,731.05,Delivered
O00496,C04438,2023-07-04,306.4,Shipped
O00497,C04849,2023-07-24,1216.33,Shipped
O00498,C02500,2024-07-02,967.21,Shipped
O00499,C04141,2024-08-24,832.31,Returned
O00500,C02784,2024-02-15,331.96,Cancelled
O00501,C04165,2023-06-01,693.38,Delivered
O00502,C02051,2024-03-24,1265.77,Cancelled
O00503,C02407,2023-10-13,177.7,Delivered
O00504,C01989,2024-12-19,722.74,Cancelled
O00505,C04682,2024-07-01,507.1,Cancelled
O00506,C01684,2023-08-27,670.61,Returned
O00507,C00652,2023-08-21,45.54,Returned
O00508,C01790,2025-03-16,53.38,Returned
O00509,C00715,2024-02-03,838.28,Returned
O00510,C01823,2023-08-11,1213.67,Returned
O00511,C03218,2025-03-17,310.16,Delivered
O00512,C04997,2023-05-12,1272.9,Cancelled
O00513,C01120,2023-07-01,192.76,Shipped
O00514,C02110,2023-12-11,225.21,Cancelled
O00515,C04142,2024-11-22,706.57,Returned
O00516,C00866,2025-02-28,913.89,Cancelled
O00517,C04449,2023-11-01,999.92,Cancelled
O00518,C00863,2023-10-18,222.46,Delivered
O00519,C04358,2023-05-22,543.41,Delivered
O00520,C01414,2025-03-15,1025.53,Returned
O00521,C00803,2023-05-25,87.74,Returned
O00522,C03763,2024-07-19,267.07,Shipped
O00523,C00514,2024-03-01,517.67,Cancelled
O00524,C01312,2024-01-12,1290.94,Cancelled
O00525,C03771,2024-03-25,121.44,Returned
O00526,C02751,2023-09-21,402.12,Delivered
O00527,C04947,2024-11-04,1171.42,Delivered
O00528,C02488,2025-03-08,120.66,Delivered
O00529,C00971,2025-01-30,915.86,Shipped
O00530,C04800,2024-08-03,298.54,Cancelled
O00531,C02787,2025-03-10,708.09,Shipped
O00532,C03053,2024-04-02,708.76,Delivered
O00533,C03412,2024-04-03,808.99,Delivered
O00534,C01561,2024-12-11,126.39,Cancelled
O00535,C00350,2024-06-27,445.54,Cancelled
O00536,C00919,2023-10-06,23.4,Cancelled
O00537,C04329,2024-06-22,76.61,Delivered
O00538,C01316,2024-08-18,220.78,Returned
O00539,C04205,2023-07-13,416.68,Shipped
O00540,C00912,2025-02-14,44.17,Shipped
O00541,C00853,2024-12-16,750.05,Cancelled
O00542,C02085,2024-02-19,1123.02,Returned
O00543,C04673,2024-08-24,804.03,Delivered
O00544,C01362,2023-11-30,663.35,Cancelled
O00545,C03226,2024-06-20,846.99,Shipped
O00546,C02307,2023-12-07,163.4,Delivered
O00547,C00278,2023-09-22,541.46,Shipped
O00548,C01584,2024-07-03,148.95,Delivered
O00549,C03102,2024-03-09,1271.71,Shipped
O00550,C02896,2023-07-22,949.81,Shipped
O00551,C00943,2024-12-20,1187.05,Delivered
O00552,C04127,2024-02-06,180.44,Cancelled
O00553,C00340,2023-12-01,605.82,Returned
O00554,C00272,2025-02-06,600.72,Cancelled
O00555,C02588,2024-12-20,228.93,Shipped
O00556,C00404,2024-03-25,70.26,Returned
O00557,C04898,2024-04-09,451.74,Delivered
O00558,C02239,2024-03-04,452.75,Delivered
O00559,C03757,2024-07-16,116.5,Cancelled
O00560,C01019,2024-08-31,462.47,Returned
O00561,C03549,2023-12-18,290.59,Cancelled
O00562,C01726,2024-10-18,582.97,Cancelled
O00563,C04458,2024-11-12,1088.13,Shipped
O00564,C01646,2024-08-21,1238.23,Cancelled
O00565,C04072,2023-08-21,384.31,Cancelled
O00566,C00012,2025-04-07,597.61,Cancelled
O00567,C03197,2023-10-27,405.57,Cancelled
O00568,C01673,2025-03-24,779.51,Shipped
O00569,C03388,2024-06-19,1158.5,Cancelled
O00570,C02583,2025-01-18,497.96,Delivered
O00571,C00600,2024-11-05,2068.61,Cancelled
O00572,C01846,2023-08-17,23.06,Shipped
O00573,C01688,2024-04-23,1040.33,Shipped
O00574,C02876,2024-10-23,537.32,Shipped
O00575,C03837,2024-12-05,14.28,Shipped
O00576,C00449,2023-07-29,578.8,Shipped
